thumb_segment_0_0_R,thumb_segment_0_0_G,thumb_segment_0_0_B,thumb_segment_1_0_R,thumb_segment_1_0_G,thumb_segment_1_0_B,index_segment_0_0_R,index_segment_0_0_G,index_segment_0_0_B,index_segment_1_0_R,index_segment_1_0_G,index_segment_1_0_B,index_segment_2_0_R,index_segment_2_0_G,index_segment_2_0_B,middle_segment_0_0_R,middle_segment_0_0_G,middle_segment_0_0_B,middle_segment_1_0_R,middle_segment_1_0_G,middle_segment_1_0_B,middle_segment_2_0_R,middle_segment_2_0_G,middle_segment_2_0_B,ring_segment_0_0_R,ring_segment_0_0_G,ring_segment_0_0_B,ring_segment_1_0_R,ring_segment_1_0_G,ring_segment_1_0_B,ring_segment_2_0_R,ring_segment_2_0_G,ring_segment_2_0_B,pinky_segment_0_0_R,pinky_segment_0_0_G,pinky_segment_0_0_B,pinky_segment_1_0_R,pinky_segment_1_0_G,pinky_segment_1_0_B,pinky_segment_2_0_R,pinky_segment_2_0_G,pinky_segment_2_0_B,Source,Label,thumb_segment_0_1_R,thumb_segment_0_1_G,thumb_segment_0_1_B,thumb_segment_1_1_R,thumb_segment_1_1_G,thumb_segment_1_1_B,index_segment_0_1_R,index_segment_0_1_G,index_segment_0_1_B,index_segment_1_1_R,index_segment_1_1_G,index_segment_1_1_B,index_segment_2_1_R,index_segment_2_1_G,index_segment_2_1_B,middle_segment_0_1_R,middle_segment_0_1_G,middle_segment_0_1_B,middle_segment_1_1_R,middle_segment_1_1_G,middle_segment_1_1_B,middle_segment_2_1_R,middle_segment_2_1_G,middle_segment_2_1_B,ring_segment_0_1_R,ring_segment_0_1_G,ring_segment_0_1_B,ring_segment_1_1_R,ring_segment_1_1_G,ring_segment_1_1_B,ring_segment_2_1_R,ring_segment_2_1_G,ring_segment_2_1_B,pinky_segment_0_1_R,pinky_segment_0_1_G,pinky_segment_0_1_B,pinky_segment_1_1_R,pinky_segment_1_1_G,pinky_segment_1_1_B,pinky_segment_2_1_R,pinky_segment_2_1_G,pinky_segment_2_1_B
245.3469387755102,196.87755102040816,179.6326530612245,219.42857142857142,164.69387755102042,138.3265306122449,242.0204081632653,181.46938775510205,161.57142857142858,236.69387755102042,191.55102040816325,168.83673469387756,242.3265306122449,199.6734693877551,181.0612244897959,240.12244897959184,177.9591836734694,159.6326530612245,238.91836734693877,182.89795918367346,164.85714285714286,238.71428571428572,184.9591836734694,162.6734693877551,242.9387755102041,190.26530612244898,175.0,242.55102040816325,195.12244897959184,178.75510204081633,234.81632653061226,188.26530612244898,170.59183673469389,244.6530612244898,194.14285714285714,180.3877551020408,238.3673469387755,196.44897959183675,178.0,242.9591836734694,197.22448979591837,178.22448979591837,h10nl.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.44897959183675,168.9591836734694,144.71428571428572,243.6734693877551,197.6122448979592,172.59183673469389,237.75510204081633,157.0,133.28571428571428,236.28571428571428,168.71428571428572,139.53061224489795,233.81632653061226,167.3673469387755,133.89795918367346,244.0,167.9591836734694,146.6326530612245,235.9591836734694,176.81632653061226,145.55102040816325,235.57142857142858,184.40816326530611,154.22448979591837,246.14285714285714,186.24489795918367,167.12244897959184,239.3877551020408,192.28571428571428,169.6326530612245,230.9387755102041,151.26530612244898,118.40816326530613,250.3673469387755,194.28571428571428,180.48979591836735,247.53061224489795,207.6326530612245,185.10204081632654,244.71428571428572,204.81632653061226,182.3673469387755,h11nl.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.9387755102041,139.51020408163265,119.18367346938776,202.30612244897958,159.9795918367347,137.42857142857142,215.55102040816325,159.9795918367347,144.53061224489795,209.81632653061226,155.55102040816325,137.79591836734693,207.73469387755102,152.10204081632654,135.20408163265307,201.3673469387755,137.10204081632654,119.63265306122449,182.3673469387755,119.48979591836735,98.6938775510204,197.0408163265306,142.53061224489795,123.16326530612245,199.51020408163265,139.9387755102041,122.44897959183673,194.0612244897959,136.3469387755102,111.22448979591837,198.3265306122449,141.10204081632654,120.51020408163265,184.9591836734694,125.44897959183673,104.9795918367347,184.3265306122449,126.44897959183673,105.65306122448979,198.08163265306123,132.0204081632653,112.36734693877551,h12nl.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210.08163265306123,158.44897959183675,140.51020408163265,216.3877551020408,174.42857142857142,154.12244897959184,225.48979591836735,173.55102040816325,159.69387755102042,223.89795918367346,180.81632653061226,165.20408163265307,219.81632653061226,172.26530612244898,155.87755102040816,216.28571428571428,165.3469387755102,148.71428571428572,210.57142857142858,161.08163265306123,140.81632653061226,218.48979591836735,173.24489795918367,155.77551020408163,214.59183673469389,161.51020408163265,146.20408163265307,216.0408163265306,166.16326530612244,147.71428571428572,215.48979591836735,170.42857142857142,150.9591836734694,211.6122448979592,157.0,142.9387755102041,209.0612244897959,160.30612244897958,143.3673469387755,217.6530612244898,166.16326530612244,151.22448979591837,h13nl.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.0612244897959,165.89795918367346,148.87755102040816,223.6530612244898,185.18367346938774,164.40816326530611,216.28571428571428,170.3265306122449,151.40816326530611,222.87755102040816,179.0612244897959,161.3265306122449,227.18367346938774,183.53061224489795,166.10204081632654,224.9591836734694,173.69387755102042,160.6734693877551,220.40816326530611,179.0204081632653,161.73469387755102,227.30612244897958,186.14285714285714,165.69387755102042,220.3673469387755,174.79591836734693,159.9795918367347,222.42857142857142,180.08163265306123,162.16326530612244,226.0204081632653,186.48979591836735,169.08163265306123,220.6326530612245,174.24489795918367,158.44897959183675,218.48979591836735,178.10204081632654,159.10204081632654,226.6734693877551,180.08163265306123,163.91836734693877,h14nl.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.0408163265306,197.57142857142858,192.40816326530611,240.18367346938774,211.6734693877551,203.55102040816325,239.87755102040816,174.9795918367347,168.59183673469389,238.42857142857142,183.18367346938774,167.20408163265307,238.75510204081633,181.71428571428572,166.83673469387756,238.0408163265306,173.30612244897958,165.85714285714286,236.79591836734693,188.55102040816325,173.40816326530611,240.89795918367346,190.3265306122449,173.53061224489795,235.3877551020408,179.16326530612244,168.71428571428572,238.0,192.6734693877551,179.51020408163265,243.46938775510205,190.0,176.40816326530611,239.57142857142858,177.16326530612244,170.28571428571428,238.53061224489795,193.79591836734693,181.0408163265306,242.12244897959184,186.6734693877551,169.30612244897958,h15nl.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229.26530612244898,149.85714285714286,131.42857142857142,218.12244897959184,153.69387755102042,126.71428571428571,228.51020408163265,145.85714285714286,130.08163265306123,226.6734693877551,156.3265306122449,136.87755102040816,226.40816326530611,160.10204081632654,135.0,230.24489795918367,142.53061224489795,128.85714285714286,224.6326530612245,155.59183673469389,136.6530612244898,230.08163265306123,159.6326530612245,138.3877551020408,230.30612244897958,147.81632653061226,137.22448979591837,224.20408163265307,158.28571428571428,139.57142857142858,231.12244897959184,164.42857142857142,140.83673469387756,225.87755102040816,153.6734693877551,135.53061224489795,227.30612244897958,167.42857142857142,146.0612244897959,220.51020408163265,155.87755102040816,136.42857142857142,h16nl.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.46938775510205,159.12244897959184,141.3673469387755,210.69387755102042,158.79591836734693,124.12244897959184,242.77551020408163,185.40816326530611,173.0612244897959,235.69387755102042,185.14285714285714,163.22448979591837,243.91836734693877,199.6122448979592,179.59183673469389,237.85714285714286,171.0612244897959,158.85714285714286,240.9387755102041,189.20408163265307,169.12244897959184,247.6326530612245,201.26530612244898,178.28571428571428,239.77551020408163,179.75510204081633,165.12244897959184,242.0,197.6326530612245,178.71428571428572,241.91836734693877,191.10204081632654,166.6530612244898,240.0408163265306,182.40816326530611,170.3265306122449,239.3877551020408,193.81632653061226,175.3469387755102,248.6326530612245,200.9591836734694,184.3469387755102,h17nl.png,1,202.18367346938774,147.9795918367347,128.10204081632654,225.87755102040816,178.26530612244898,148.42857142857142,243.12244897959184,188.59183673469389,174.0204081632653,239.3877551020408,192.77551020408163,173.0408163265306,243.87755102040816,200.30612244897958,177.6734693877551,244.9591836734694,192.75510204081633,174.87755102040816,239.77551020408163,189.6530612244898,168.89795918367346,245.46938775510205,198.6530612244898,175.0204081632653,242.87755102040816,191.14285714285714,178.12244897959184,243.57142857142858,199.44897959183675,178.0,247.42857142857142,200.24489795918367,177.3265306122449,243.57142857142858,185.89795918367346,171.9591836734694,241.46938775510205,196.6326530612245,178.3265306122449,248.20408163265307,207.46938775510205,191.22448979591837
222.73469387755102,152.59183673469389,138.24489795918367,217.3673469387755,151.22448979591837,132.0612244897959,220.81632653061226,148.77551020408163,137.08163265306123,212.57142857142858,145.10204081632654,124.53061224489795,220.87755102040816,150.6122448979592,131.3877551020408,186.0,107.89795918367346,94.3061224489796,212.79591836734693,131.6734693877551,122.53061224489795,227.6734693877551,178.30612244897958,162.24489795918367,171.85714285714286,107.79591836734694,101.12244897959184,218.18367346938774,144.83673469387756,129.9387755102041,173.0204081632653,101.77551020408163,82.38775510204081,225.0612244897959,154.12244897959184,142.85714285714286,216.10204081632654,151.89795918367346,134.46938775510205,229.0204081632653,167.40816326530611,150.87755102040816,h19nl.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.20408163265307,192.48979591836735,174.87755102040816,244.22448979591837,200.0612244897959,180.91836734693877,248.48979591836735,183.48979591836735,161.75510204081633,252.22448979591837,210.28571428571428,190.3469387755102,249.0,204.51020408163265,185.10204081632654,253.71428571428572,204.20408163265307,189.83673469387756,249.9795918367347,213.26530612244898,193.73469387755102,248.91836734693877,205.75510204081633,183.6530612244898,253.73469387755102,197.77551020408163,182.57142857142858,252.53061224489795,219.3673469387755,203.18367346938774,250.81632653061226,213.53061224489795,194.16326530612244,252.12244897959184,206.24489795918367,191.18367346938774,253.28571428571428,216.0,200.08163265306123,253.79591836734693,222.55102040816325,208.55102040816325,h1nl.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
